iso3,date,life_expectancy,fertility
ATG,2015,76.483,2.003
ATG,2016,76.617,2.003
ATG,2017,76.752,1.999
ATG,2018,76.885,1.994
ATG,2019,77.016,1.987
ATG,2020,77.146,1.978
AUS,2000,79.2341463414634,1.756
AUS,2001,79.6341463414634,1.739
AUS,2002,79.9365853658537,1.756
AUS,2003,80.2390243902439,1.748
AUS,2004,80.490243902439,1.768
AUS,2005,80.8414634146341,1.807
AUS,2006,81.0414634146342,1.908
AUS,2007,81.2926829268293,1.959
AUS,2008,81.3951219512195,1.984
AUS,2009,81.5439024390244,1.971
AUS,2010,81.6951219512195,1.928
AUS,2011,81.8951219512195,1.926
AUS,2012,82.0463414634146,1.92
AUS,2013,82.1487804878049,1.855
AUS,2014,82.3,1.826
AUS,2015,82.4,1.814
AUS,2016,82.4487804878049,1.752
AUS,2017,82.5,1.741
AUS,2018,82.7487804878049,1.74
AUS,2019,82.9,1.657
AUS,2020,83.2,1.581
AUT,2000,78.1268292682927,1.36
AUT,2001,78.5756097560976,1.33
AUT,2002,78.6780487804878,1.39
AUT,2003,78.6317073170732,1.38
AUT,2004,79.1804878048781,1.42
AUT,2005,79.3317073170732,1.41
AUT,2006,79.8804878048781,1.41
AUT,2007,80.1804878048781,1.38
AUT,2008,80.4317073170732,1.42
AUT,2009,80.3317073170732,1.39
AUT,2010,80.5804878048781,1.44
AUT,2011,80.9829268292683,1.43
AUT,2012,80.9365853658537,1.44
AUT,2013,81.1365853658537,1.44
AUT,2014,81.490243902439,1.46
AUT,2015,81.190243902439,1.49
AUT,2016,81.6414634146342,1.53
AUT,2017,81.6439024390244,1.52
AUT,2018,81.6926829268293,1.47
AUT,2019,81.8951219512195,1.46
AUT,2020,81.1926829268293,1.44
AZE,2000,66.763,2.0
AZE,2001,67.054,1.8
AZE,2002,67.391,1.8
AZE,2003,67.791,1.9
AZE,2004,68.249,2.0535
AZE,2005,68.747,2.0
AZE,2006,69.259,1.97
AZE,2007,69.752,1.97
AZE,2008,70.201,1.9
AZE,2009,70.597,1.82
AZE,2010,70.938,1.92
AZE,2011,71.234,1.96
AZE,2012,71.506,2.0
AZE,2013,71.768,1.98
AZE,2014,72.022,1.97
AZE,2015,72.266,1.94
AZE,2016,72.493,1.9
AZE,2017,72.693,1.75
AZE,2018,72.864,1.73
AZE,2019,73.005,1.81
AZE,2020,73.123,1.7
BDI,2000,49.091,6.92
BDI,2001,49.93,6.862
BDI,2002,50.81,6.801
BDI,2003,51.69,6.736
BDI,2004,52.547,6.666
BDI,2005,53.369,6.593
BDI,2006,54.163,6.515
BDI,2007,54.944,6.435
BDI,2008,55.721,6.352
BDI,2009,56.488,6.267
BDI,2010,57.228,6.179
BDI,2011,57.925,6.088
BDI,2012,58.568,5.994
BDI,2013,59.148,5.897
BDI,2014,59.665,5.797
BDI,2015,60.123,5.697
BDI,2016,60.528,5.599
BDI,2017,60.898,5.502
BDI,2018,61.247,5.41
BDI,2019,61.584,5.321
BDI,2020,61.916,5.237
BEL,2000,77.7219512195122,1.67
BEL,2001,77.9731707317073,1.67
BEL,2002,78.0756097560976,1.65
BEL,2003,78.1292682926829,1.67
BEL,2004,78.8780487804878,1.72
BEL,2005,78.9804878048781,1.76
BEL,2006,79.380487804878,1.8
BEL,2007,79.7829268292683,1.82
BEL,2008,79.6804878048781,1.85
BEL,2009,80.0341463414634,1.84
BEL,2010,80.1829268292683,1.86
BEL,2011,80.5853658536585,1.81
BEL,2012,80.3853658536585,1.8
BEL,2013,80.5878048780488,1.76
BEL,2014,81.2878048780488,1.74
BEL,2015,80.9926829268293,1.7
BEL,2016,81.4390243902439,1.68
BEL,2017,81.4926829268293,1.65
BEL,2018,81.5951219512195,1.62
BEL,2019,81.9951219512195,1.6
BEL,2020,80.7951219512195,1.55
BEN,2000,55.391,5.962
BEN,2001,55.668,5.889
BEN,2002,56.025,5.82
BEN,2003,56.436,5.754
BEN,2004,56.887,5.691
BEN,2005,57.355,5.632
BEN,2006,57.817,5.576
BEN,2007,58.255,5.522
BEN,2008,58.654,5.469
BEN,2009,59.009,5.416
BEN,2010,59.318,5.362
BEN,2011,59.59,5.305
BEN,2012,59.842,5.246
BEN,2013,60.092,5.183
BEN,2014,60.345,5.116
BEN,2015,60.608,5.047
BEN,2016,60.885,4.977
BEN,2017,61.174,4.906
BEN,2018,61.47,4.836
BEN,2019,61.771,4.767
BEN,2020,62.077,4.7
BFA,2000,50.489,6.592
BFA,2001,50.893,6.531
BFA,2002,51.384,6.468
BFA,2003,51.956,6.403
BFA,2004,52.602,6.335
BFA,2005,53.31,6.265
BFA,2006,54.063,6.192
BFA,2007,54.841,6.116
BFA,2008,55.618,6.036
BFA,2009,56.377,5.953
BFA,2010,57.096,5.867
BFA,2011,57.761,5.781
BFA,2012,58.374,5.693
BFA,2013,58.937,5.606
BFA,2014,59.45,5.521
BFA,2015,59.919,5.436
BFA,2016,60.354,5.353
BFA,2017,60.768,5.271
BFA,2018,61.174,5.189
BFA,2019,61.577,5.109
BFA,2020,61.981,5.029
BGD,2000,65.447,3.169
BGD,2001,65.956,3.07
BGD,2002,66.43,2.973
BGD,2003,66.886,2.876
BGD,2004,67.331,2.782
BGD,2005,67.773,2.691
BGD,2006,68.213,2.604
BGD,2007,68.648,2.523
BGD,2008,69.072,2.449
BGD,2009,69.485,2.382
BGD,2010,69.881,2.324
BGD,2011,70.256,2.273
BGD,2012,70.606,2.228
BGD,2013,70.93,2.188
BGD,2014,71.231,2.152
BGD,2015,71.514,2.12
BGD,2016,71.785,2.09
BGD,2017,72.052,2.062
BGD,2018,72.32,2.036
BGD,2019,72.591,2.011
BGD,2020,72.868,1.987
BGR,2000,71.6634146341463,1.26
BGR,2001,71.7682926829268,1.21
BGR,2002,71.8658536585366,1.23
BGR,2003,72.0658536585366,1.26
BGR,2004,72.5634146341463,1.33
BGR,2005,72.5609756097561,1.37
BGR,2006,72.6121951219512,1.44
BGR,2007,72.6634146341463,1.49
BGR,2008,72.9634146341463,1.56
BGR,2009,73.4121951219512,1.66
BGR,2010,73.5121951219512,1.57
BGR,2011,74.1634146341463,1.51
BGR,2012,74.3146341463415,1.5
BGR,2013,74.8609756097561,1.48
BGR,2014,74.4658536585366,1.53
BGR,2015,74.6146341463415,1.53
BGR,2016,74.8121951219512,1.54
BGR,2017,74.8146341463415,1.56
BGR,2018,74.9634146341464,1.56
BGR,2019,75.1121951219512,1.58
BGR,2020,73.6073170731707,1.56
BHR,2000,74.44,2.795
BHR,2001,74.635,2.731
BHR,2002,74.822,2.663
BHR,2003,74.999,2.59
BHR,2004,75.167,2.514
BHR,2005,75.326,2.436
BHR,2006,75.478,2.363
BHR,2007,75.625,2.297
BHR,2008,75.77,2.241
BHR,2009,75.913,2.197
BHR,2010,76.057,2.164
BHR,2011,76.2,2.139
BHR,2012,76.342,2.118
BHR,2013,76.484,2.098
BHR,2014,76.624,2.078
BHR,2015,76.762,2.056
BHR,2016,76.899,2.033
BHR,2017,77.032,2.01
BHR,2018,77.163,1.987
BHR,2019,77.292,1.964
BHR,2020,77.419,1.942
BHS,2000,71.914,2.073
BHS,2001,71.954,1.993
BHS,2002,71.977,1.931
BHS,2003,71.986,1.889
BHS,2004,71.988,1.867
BHS,2005,71.987,1.863
BHS,2006,71.988,1.869
BHS,2007,71.998,1.877
BHS,2008,72.022,1.881
BHS,2009,72.067,1.877
BHS,2010,72.144,1.865
BHS,2011,72.263,1.847
BHS,2012,72.424,1.828
BHS,2013,72.62,1.81
BHS,2014,72.847,1.794
BHS,2015,73.088,1.782
BHS,2016,73.329,1.771
BHS,2017,73.554,1.762
BHS,2018,73.752,1.752
BHS,2019,73.918,1.743
BHS,2020,74.053,1.733
BIH,2000,74.403,1.497
BIH,2001,74.637,1.432
BIH,2002,74.803,1.374
BIH,2003,74.941,1.33
BIH,2004,75.068,1.301
BIH,2005,75.198,1.288
BIH,2006,75.342,1.288
