"name","essround","edition","proddate","cntry","idno","intagea","intgndr","vdcond","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","intlnga","intnum"
"ESS11inte02",11,"2.0","19.11.2024","AT",74161,45,2,1,2,3,4,5,2,,,,,,,1,0,"GER",2435
"ESS11inte02",11,"2.0","19.11.2024","AT",74203,63,2,1,3,3,5,5,2,,,,,,,1,0,"GER",2292
"ESS11inte02",11,"2.0","19.11.2024","AT",74220,47,1,1,3,1,5,5,2,,,,,,,1,0,"GER",3407
"ESS11inte02",11,"2.0","19.11.2024","AT",74234,69,2,1,1,1,5,5,2,,,,,,,1,0,"GER",3168
"ESS11inte02",11,"2.0","19.11.2024","AT",74246,43,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3266
"ESS11inte02",11,"2.0","19.11.2024","AT",74256,77,1,1,1,1,5,5,2,,,,,,,1,0,"GER",2492
"ESS11inte02",11,"2.0","19.11.2024","AT",74260,64,1,1,2,1,5,4,2,,,,,,,1,0,"GER",3504
"ESS11inte02",11,"2.0","19.11.2024","AT",74281,54,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3092
"ESS11inte02",11,"2.0","19.11.2024","AT",74296,63,2,1,2,2,4,4,2,,,,,,,1,0,"GER",2862
"ESS11inte02",11,"2.0","19.11.2024","AT",74302,69,1,1,2,2,5,5,2,,,,,,,1,0,"GER",2457
"ESS11inte02",11,"2.0","19.11.2024","AT",74317,68,2,1,3,1,5,4,2,,,,,,,1,0,"GER",2699
"ESS11inte02",11,"2.0","19.11.2024","AT",74321,57,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2925
"ESS11inte02",11,"2.0","19.11.2024","AT",74418,45,1,1,3,3,4,4,2,,,,,,,1,0,"GER",2171
"ESS11inte02",11,"2.0","19.11.2024","AT",74433,53,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2191
"ESS11inte02",11,"2.0","19.11.2024","AT",74440,53,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3217
"ESS11inte02",11,"2.0","19.11.2024","AT",74448,54,1,1,2,1,5,5,2,,,,,,,1,0,"GER",2305
"ESS11inte02",11,"2.0","19.11.2024","AT",74494,57,1,1,2,1,5,5,2,,,,,,,1,0,"GER",2982
"ESS11inte02",11,"2.0","19.11.2024","AT",74501,63,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2280
"ESS11inte02",11,"2.0","19.11.2024","AT",74504,60,2,1,2,2,4,4,2,,,,,,,1,0,"GER",2762
"ESS11inte02",11,"2.0","19.11.2024","AT",74525,63,1,1,3,2,4,4,2,,,,,,,1,0,"GER",3406
"ESS11inte02",11,"2.0","19.11.2024","AT",74533,56,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2447
"ESS11inte02",11,"2.0","19.11.2024","AT",74539,76,1,1,2,2,4,4,2,,,,,,,1,0,"GER",3124
"ESS11inte02",11,"2.0","19.11.2024","AT",74566,57,1,1,3,1,5,5,2,,,,,,,1,0,"GER",2982
"ESS11inte02",11,"2.0","19.11.2024","AT",74581,59,1,1,1,3,4,4,2,,,,,,,1,0,"GER",3039
"ESS11inte02",11,"2.0","19.11.2024","AT",74591,46,1,1,2,3,4,4,2,,,,,,,1,0,"GER",2943
"ESS11inte02",11,"2.0","19.11.2024","AT",74592,76,2,1,2,2,4,4,2,,,,,,,1,0,"GER",2150
"ESS11inte02",11,"2.0","19.11.2024","AT",74601,43,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3266
"ESS11inte02",11,"2.0","19.11.2024","AT",74605,55,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2526
"ESS11inte02",11,"2.0","19.11.2024","AT",74615,60,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2762
"ESS11inte02",11,"2.0","19.11.2024","AT",74617,66,1,1,2,1,5,5,2,,,,,,,1,0,"GER",3030
"ESS11inte02",11,"2.0","19.11.2024","AT",74641,56,2,1,3,3,5,5,2,,,,,,,1,0,"GER",3137
"ESS11inte02",11,"2.0","19.11.2024","AT",74643,39,2,1,2,2,5,5,2,,,,,,,1,0,"GER",2293
"ESS11inte02",11,"2.0","19.11.2024","AT",74684,55,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2674
"ESS11inte02",11,"2.0","19.11.2024","AT",74714,75,2,1,3,2,5,5,2,,,,,,,1,0,"GER",2354
"ESS11inte02",11,"2.0","19.11.2024","AT",74721,57,1,1,3,2,5,5,1,0,0,0,0,1,0,0,0,"GER",2982
"ESS11inte02",11,"2.0","19.11.2024","AT",74743,56,2,1,3,3,5,5,2,,,,,,,1,0,"GER",3137
"ESS11inte02",11,"2.0","19.11.2024","AT",74753,42,2,1,2,2,4,4,2,,,,,,,1,0,"GER",3048
"ESS11inte02",11,"2.0","19.11.2024","AT",74761,61,1,1,2,2,5,5,2,,,,,,,1,0,"GER",2147
"ESS11inte02",11,"2.0","19.11.2024","AT",74771,75,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2770
"ESS11inte02",11,"2.0","19.11.2024","AT",74775,75,2,1,1,2,5,5,2,,,,,,,1,0,"GER",2770
"ESS11inte02",11,"2.0","19.11.2024","AT",74784,63,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3413
"ESS11inte02",11,"2.0","19.11.2024","AT",74803,56,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2447
"ESS11inte02",11,"2.0","19.11.2024","AT",74804,75,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2770
"ESS11inte02",11,"2.0","19.11.2024","AT",74815,56,2,1,3,2,5,5,2,,,,,,,1,0,"GER",3137
"ESS11inte02",11,"2.0","19.11.2024","AT",74819,64,1,2,1,1,1,5,2,,,,,,,1,0,"GER",3309
"ESS11inte02",11,"2.0","19.11.2024","AT",74820,69,2,1,2,1,4,4,2,,,,,,,1,0,"GER",3168
"ESS11inte02",11,"2.0","19.11.2024","AT",74830,40,2,1,1,1,5,5,2,,,,,,,1,0,"GER",3086
"ESS11inte02",11,"2.0","19.11.2024","AT",74905,40,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3086
